;Parameter;Parameter;Eigenschappen;;;;;Metric;;;Rang;;
Experiment;Threshold;Min_dist;ns_ass;tld;2ld;ttl;age;IP per net (66);Misallocated;Afstand van echt;IP per net (66);Misallocated;SUM
0;0,1;0;0;0;0;0;0;;;;;;
1;0,1;0;5;5;10;5;5;;;;;;
2;0,1;0;10;10;5;10;10;;;;;;
3;0,1;0,4;0;5;5;5;10;;;;;;
4;0,1;0,4;5;10;0;10;0;;;;;;
5;0,1;0,4;10;0;10;0;5;;;;;;
6;0,1;0,8;0;10;10;5;0;;;;;;
7;0,1;0,8;5;0;5;10;5;;;;;;
8;0,1;0,8;10;5;0;0;10;;;;;;
9;0,1;0;0;10;5;0;5;;;;;;
10;0,1;0;5;0;0;5;10;;;;;;
11;0,1;0;10;5;10;10;0;;;;;;
12;0,1;0,4;0;0;10;10;10;;;;;;
13;0,1;0,4;5;5;5;0;0;;;;;;
14;0,1;0,4;10;10;0;5;5;;;;;;
15;0,1;0,8;0;5;0;10;5;;;;;;
16;0,1;0,8;5;10;10;0;10;;;;;;
17;0,1;0,8;10;0;5;5;0;;;;;;
18;0,1;0,4;5;5;5;5;5;;;;;;
19;0,1;0,4;10;0;10;10;10;;;;;;
20;0,1;0,4;0;10;0;0;0;;;;;;
21;0,1;0,8;10;10;10;0;5;;;;;;
22;0,1;0,8;0;5;0;5;10;;;;;;
23;0,1;0,8;5;0;5;10;0;;;;;;
24;0,1;0;0;0;10;5;0;;;;;;
25;0,1;0;5;10;0;10;5;;;;;;
26;0,1;0;10;5;5;0;10;;;;;;
27;0,1;0,4;0;10;5;10;10;;;;;;
28;0,1;0,4;5;5;10;0;0;;;;;;
29;0,1;0,4;10;0;0;5;5;;;;;;
30;0,1;0,8;5;0;0;0;10;;;;;;
31;0,1;0,8;10;10;5;5;0;;;;;;
32;0,1;0,8;0;5;10;10;5;;;;;;
33;0,1;0;10;5;0;10;0;;;;;;
34;0,1;0;0;0;5;0;5;;;;;;
35;0,1;0;5;10;10;5;10;;;;;;